"8520","# doc = first-class.2.txt","","","","","","","","","","","","","","","",""
"8521","# speaker = К","","","","","","","","","","","","","","","",""
"8522","# sent = 725","","","","","","","","","","","","","","","",""
"8523","","В","В","PR","","","   _В_ школу нужно с","в","","","","","","PR","В","PR","В"
"8524","","школу","ШКОЛА","S f inan loc sg","","","  В _школу_ нужно с семи","у","л","о","к","ш","","S","ШКОЛА","S f inan acc sg","А"
"8525","","нужно","НУЖНО","PRAEDIC","",""," В школу _нужно_ с семи лет","о","н","ж","у","н","","PRAEDIC","НУЖНО","ADV -","О"
"8526","","с","С","PR","","","В школу нужно _с_ семи лет /","с","","","","","","PR","С","PR","С"
"8527","","семи","СЕМЬ","NUM gen - -","","","школу нужно с _семи_ лет / но","и","м","е","с","","","NUM","СЕМЬ","NUM loc - -","Ь"
"8528","","лет","ГОД","S m inan gen pl","","","нужно с семи _лет_ / но /","т","е","л","","","","S","ГОД","S m inan gen pl","Д"
"8529","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8530","","но","НО","CONJ","","","семи лет / _но_ / так как день","о","н","","","","","CONJ","НО","CONJ","О"
"8531","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8532","","так как","так как","CONJ","","","/ но / _так как_ день рождения у","к","а","к"," ","к","а","CONJ","так как","CONJ","к"
"8533","","день","ДЕНЬ","S m inan nom sg","","","но / так как _день_ рождения у ","ь","н","е","д","","","S","ДЕНЬ","S m inan acc sg","Ь"
"8534","","рождения","РОЖДЕНИЕ","S n inan gen sg","","","/ так как день _рождения_ у  мня","я","и","н","е","д","ж","S","РОЖДЕНИЕ","S n inan gen sg","Е"
"8535","","у","У","PR","","","так как день рождения _у_  мня ","у","","","","","","PR","У","PR","У"
"8536","<distinct form=""","","","","","","","","","","","","","","","",""
"8537","<dist>","мня","","","","","","","","","","","","","","",""
"8538",""">","","","","","","","","","","","","","","","",""
"8539","","меня","Я","SPRO sg 1p - acc","",""," мня  _меня_  14 сентября","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8540","</distinct>","","","","","","","","","","","","","","","",""
"8541","","14","14","NUM - - -","",""," меня  _14_ сентября меня не","4","1","","","","","NUM","14","NUM - - -","4"
"8542","","сентября","СЕНТЯБРЬ","S m inan gen sg","","","меня  14 _сентября_ меня не брали","я","р","б","я","т","н","S","СЕНТЯБРЬ","S m inan gen sg","Ь"
"8543","","меня","Я","SPRO sg 1p - acc","",""," 14 сентября _меня_ не брали //","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8544","","не","НЕ","PART","","","14 сентября меня _не_ брали // Семь","е","н","","","","","PART","НЕ","PART","Е"
"8545","","брали","БРАТЬ","V ipf praet pl indic - -","","","сентября меня не _брали_ // Семь лет","и","л","а","р","б","","V","БРАТЬ","V ipf praet pl indic - -","Ь"
"8546","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8547","","Семь","СЕМЬ","NUM nom- -","","","не брали // _Семь_ лет еще не","ь","м","е","с","","","NUM","СЕМЬ","NUM acc - -","Ь"
"8548","","лет","ГОД","S m inan gen pl","","","брали // Семь _лет_ еще не исполнилось","т","е","л","","","","S","ГОД","S m inan gen pl","Д"
"8549","","еще","ЕЩЕ","ADV -","","","// Семь лет _еще_ не исполнилось //","е","щ","е","","","","ADV","ЕЩЕ","ADV -","Е"
"8550","","не","НЕ","PART","","","Семь лет еще _не_ исполнилось // Ну","е","н","","","","","PART","НЕ","PART","Е"
"8551","","исполнилось","ИСПОЛНИТЬСЯ","V pf praet sg indic n -","","","лет еще не _исполнилось_ // Ну ,","ь","с","о","л","и","н","V","ИСПОЛНИТЬСЯ","V pf praet sg indic n -","Я"
"8552","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8553","","Ну","НУ","PART","","","не исполнилось // _Ну_ , все-таки мама","у","н","","","","","PART","НУ","PART","У"
"8554","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8555","","все-таки","ВСЕ-ТАКИ","PART","","","// Ну , _все-таки_ мама уговорила /","и","к","а","т","-","е","PART","ВСЕ-ТАКИ","PART","И"
"8556","","мама","МАМА","S f anim nom sg","","","Ну , все-таки _мама_ уговорила / и","а","м","а","м","","","S","МАМА","S f anim nom sg","А"
"8557","","уговорила","УГОВОРИТЬ","V pf praet sg indic f -","","",", все-таки мама _уговорила_ / и меня","а","л","и","р","о","в","V","УГОВОРИТЬ","V pf praet sg indic f -","Ь"
"8558","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8559","","и","И","CONJ","","","мама уговорила / _и_ меня взяли с","и","","","","","","CONJ","И","CONJ","И"
"8560","","меня","Я","SPRO sg 1p - acc","","","уговорила / и _меня_ взяли с условием","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8561","","взяли","ВЗЯТЬ","V pf praet pl indic - -","","","/ и меня _взяли_ с условием ,","и","л","я","з","в","","V","ВЗЯТЬ","V pf praet pl indic - -","Ь"
"8562","","с","С","PR","","","и меня взяли _с_ условием , что","с","","","","","","PR","С","PR","С"
"8563","","условием","УСЛОВИЕ","S n inan ins sg","","","меня взяли с _условием_ , что если","м","е","и","в","о","л","S","УСЛОВИЕ","S n inan ins sg","Е"
"8564","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8565","","что","ЧТО","CONJ","","","с условием , _что_ если мне не","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8566","","если","ЕСЛИ","CONJ","","","условием , что _если_ мне не захочется","и","л","с","е","","","CONJ","ЕСЛИ","CONJ","И"
"8567","","мне","Я","SPRO sg 1p - dat","","",", что если _мне_ не захочется /","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"8568","","не","НЕ","PART","","","что если мне _не_ захочется / я","е","н","","","","","PART","НЕ","PART","Е"
"8569","","захочется","ЗАХОТЕТЬСЯ","V pf fut sg indic - 3p","","","если мне не _захочется_ / я могу","я","с","т","е","ч","о","V","ЗАХОТЕТЬСЯ","V pf fut sg indic - 3p","Я"
"8570","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8571","","я","Я","SPRO sg 1p - nom","","","не захочется / _я_ могу не ходить","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8572","","могу","МОЧЬ","V ipf praes sg indic - 1p","","","захочется / я _могу_ не ходить ,","у","г","о","м","","","V","МОЧЬ","V ipf praes sg indic - 1p","Ь"
"8573","","не","НЕ","PART","","","/ я могу _не_ ходить , а","е","н","","","","","PART","НЕ","PART","Е"
"8574","","ходить","ХОДИТЬ","V ipf - - inf - -","","","я могу не _ходить_ , а на","ь","т","и","д","о","х","V","ХОДИТЬ","V ipf - - inf - -","Ь"
"8575","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8576","","а","А","CONJ","","","не ходить , _а_ на следующий год","а","","","","","","CONJ","А","CONJ","А"
"8577","","на","НА","PR","","","ходить , а _на_ следующий год пойду","а","н","","","","","PR","НА","PR","А"
"8578","","следующий","СЛЕДУЮЩИЙ","A - acc sg plen m inan","","",", а на _следующий_ год пойду //","й","и","щ","ю","у","д","A","СЛЕДУЮЩИЙ","A - acc sg plen m inan","Й"
"8579","","год","ГОД","S m inan acc sg","","","а на следующий _год_ пойду // И","д","о","г","","","","S","ГОД","S m inan acc sg","Д"
"8580","","пойду","ПОЙТИ","V pf fut sg indic - 1p","","","на следующий год _пойду_ // И учительница","у","д","й","о","п","","V","ПОЙТИ","V pf fut sg indic - 1p","И"
"8581","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8582","","И","И","CONJ","","","год пойду // _И_ учительница на меня","и","","","","","","CONJ","И","CONJ","И"
"8583","","учительница","УЧИТЕЛЬНИЦА","S f anim nom sg","","","пойду // И _учительница_ на меня не","а","ц","и","н","ь","л","S","УЧИТЕЛЬНИЦА","S f anim nom sg","А"
"8584","","на","НА","PR","","","// И учительница _на_ меня не обращала","а","н","","","","","PR","НА","PR","А"
"8585","","меня","Я","SPRO sg 1p - acc","","","И учительница на _меня_ не обращала внимания","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8586","","не","НЕ","PART","","","учительница на меня _не_ обращала внимания /","е","н","","","","","PART","НЕ","PART","Е"
"8587","","обращала","ОБРАЩАТЬ","V ipf praet sg indic f -","","","на меня не _обращала_ внимания / считала","а","л","а","щ","а","р","V","ОБРАЩАТЬ","V ipf praet sg indic f -","Ь"
"8588","","внимания","ВНИМАНИЕ","S n inan gen sg","","","меня не обращала _внимания_ / считала ,","я","и","н","а","м","и","S","ВНИМАНИЕ","S n inan gen sg","Е"
"8589","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8590","","считала","СЧИТАТЬ","V ipf praet sg indic f -","","","обращала внимания / _считала_ , что ладно","а","л","а","т","и","ч","V","СЧИТАТЬ","V ipf praet sg indic f -","Ь"
"8591","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8592","","что","ЧТО","CONJ","","","/ считала , _что_ ладно , малчик","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8593","","ладно","ЛАДНО","PART","","","считала , что _ладно_ , малчик сидит","о","н","д","а","л","","PART","ЛАДНО","PART","О"
"8594","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8595","","малчик","МАЛЬЧИК","S m anim nom sg","distort","","что ладно , _малчик_ сидит , сидит","к","и","ч","л","а","м","S","МАЛЧИК","S f inan nom sg","К"
"8596","","сидит","СИДЕТЬ","V ipf praes sg indic - 3p","","","ладно , малчик _сидит_ , сидит //","т","и","д","и","с","","V","СИДЕТЬ","V ipf praes sg indic - 3p","Ь"
"8597","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8598","","сидит","СИДЕТЬ","V ipf praes sg indic - 3p","","","малчик сидит , _сидит_ // И прошло","т","и","д","и","с","","V","СИДЕТЬ","V ipf praes sg indic - 3p","Ь"
"8599","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8600","","И","И","CONJ","","",", сидит // _И_ прошло где-то уже","и","","","","","","CONJ","И","CONJ","И"
"8601","","прошло","ПРОЙТИ","V pf praet sg indic n -","","","сидит // И _прошло_ где-то уже с","о","л","ш","о","р","п","V","ПРОЙТИ","V pf praet sg indic n -","И"
"8602","","где-то","ГДЕ-ТО","ADV -","","","// И прошло _где-то_ уже с полмесяца","о","т","-","е","д","г","ADV","ГДЕ-ТО","ADV -","О"
"8603","","уже","УЖЕ","ADV -","","","И прошло где-то _уже_ с полмесяца ,","е","ж","у","","","","ADV","УЖЕ","ADV -","Е"
"8604","","с","С","PR","","","прошло где-то уже _с_ полмесяца , может","с","","","","","","PR","С","PR","С"
"8605","","полмесяца","ПОЛМЕСЯЦА","S n inan gen pl","","","где-то уже с _полмесяца_ , может больше","а","ц","я","с","е","м","S","ПОЛМЕСЯЦА","S n inan acc pl","А"
"8606","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8607","","может","МОЧЬ","V ipf praes sg indic - 3p","","","с полмесяца , _может_ больше месяца /","т","е","ж","о","м","","V","МОЧЬ","V ipf praes sg indic - 3p","Ь"
"8608","","больше","МНОГО","ADV comp","","","полмесяца , может _больше_ месяца / и","е","ш","ь","л","о","б","ADV","МНОГО","ADV comp","О"
"8609","","месяца","МЕСЯЦ","S m inan gen sg","","",", может больше _месяца_ / и все-таки","а","ц","я","с","е","м","S","МЕСЯЦ","S m inan gen sg","Ц"
"8610","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8611","","и","И","CONJ","","","больше месяца / _и_ все-таки она меня","и","","","","","","CONJ","И","CONJ","И"
"8612","","все-таки","ВСЕ-ТАКИ","PART","","","месяца / и _все-таки_ она меня /","и","к","а","т","-","е","PART","ВСЕ-ТАКИ","PART","И"
"8613","","она","ОНА","SPRO sg 3p f nom","","","/ и все-таки _она_ меня / попросила","а","н","о","","","","SPRO","ОНА","SPRO sg 3p f nom","А"
"8614","","меня","Я","SPRO sg 1p - acc","","","и все-таки она _меня_ / попросила почитать","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8615","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8616","","попросила","ПОПРОСИТЬ","V pf praet sg indic f -","","","она меня / _попросила_ почитать в букваре","а","л","и","с","о","р","V","ПОПРОСИТЬ","V pf praet sg indic f -","Ь"
"8617","","почитать","ПОЧИТАТЬ","V ipf - - inf - -","","","меня / попросила _почитать_ в букваре //","ь","т","а","т","и","ч","V","ПОЧИТАТЬ","V ipf - - inf - -","Ь"
"8618","","в","В","PR","","","/ попросила почитать _в_ букваре // Ну","в","","","","","","PR","В","PR","В"
"8619","","букваре","БУКВАРЬ","S m inan loc sg","","","попросила почитать в _букваре_ // Ну а","е","р","а","в","к","у","S","БУКВАРЬ","S m inan loc sg","Ь"
"8620","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8621","","Ну","НУ","PART","","","в букваре // _Ну_ а раз на","у","н","","","","","PART","НУ","PART","У"
"8622","","а","А","CONJ","","","букваре // Ну _а_ раз на меня","а","","","","","","CONJ","А","CONJ","А"
"8623","","раз","РАЗ","PART","","","// Ну а _раз_ на меня не","з","а","р","","","","S","РАЗ","S m inan nom sg","З"
"8624","","на","НА","PR","","","Ну а раз _на_ меня не обращали","а","н","","","","","PR","НА","PR","А"
"8625","","меня","Я","SPRO sg 1p - acc","","","а раз на _меня_ не обращали внимания","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8626","","не","НЕ","PART","","","раз на меня _не_ обращали внимания ,","е","н","","","","","PART","НЕ","PART","Е"
"8627","","обращали","ОБРАЩАТЬ","V ipf praet pl indic - -","","","на меня не _обращали_ внимания , я","и","л","а","щ","а","р","V","ОБРАЩАТЬ","V ipf praet pl indic - -","Ь"
"8628","","внимания","ВНИМАНИЕ","S n inan gen sg","","","меня не обращали _внимания_ , я /","я","и","н","а","м","и","S","ВНИМАНИЕ","S n inan gen sg","Е"
"8629","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8630","","я","Я","SPRO sg 1p - nom","","","обращали внимания , _я_ / собственно ,","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8631","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8632","","собственно","СОБСТВЕННО","ADV -","","",", я / _собственно_ , и читать","о","н","н","е","в","т","ADV","СОБСТВЕННО","ADV -","О"
"8633","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8634","","и","И","CONJ","","","/ собственно , _и_ читать не умел","и","","","","","","CONJ","И","CONJ","И"
"8635","","читать","ЧИТАТЬ","V ipf - - inf - -","","","собственно , и _читать_ не умел .","ь","т","а","т","и","ч","V","ЧИТАТЬ","V ipf - - inf - -","Ь"
"8636","","не","НЕ","PART","","",", и читать _не_ умел . //","е","н","","","","","PART","НЕ","PART","Е"
"8637","","умел","УМЕТЬ","V ipf praet sg indic m -","","","и читать не _умел_ . // Ну","л","е","м","у","","","V","УМЕТЬ","V ipf praet sg indic m -","Ь"
"8638","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8639","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8640","","Ну","НУ","PART","","","умел . // _Ну_ я стал ей","у","н","","","","","PART","НУ","PART","У"
"8641","","я","Я","SPRO sg 1p - nom","","",". // Ну _я_ стал ей рассказывать","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8642","","стал","СТАТЬ","V pf praet sg indic m -","","","// Ну я _стал_ ей рассказывать ...","л","а","т","с","","","V","СТАТЬ","V pf praet sg indic m -","Ь"
"8643","","ей","ОНА","SPRO sg 3p f dat","","","Ну я стал _ей_ рассказывать ... ","й","е","","","","","SPRO","ОНА","SPRO sg 3p f dat","А"
"8644","","рассказывать","РАССКАЗЫВАТЬ","V ipf - - inf - -","","","я стал ей _рассказывать_ ...  ","ь","т","а","в","ы","з","V","РАССКАЗЫВАТЬ","V ipf - - inf - -","Ь"
"8645","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"8646","","","","","","","","","","","","","","","","",""
"8647","# sent = 726","","","","","","","","","","","","","","","",""
"8648","","Там","ТАМ","ADV 0","","","...   _Там_ смотя на картинки","м","а","т","","","","ADV","ТАМ","ADV -","М"
"8649","","смотя","СМОТЯ","S f inan nom sg","distort","","  Там _смотя_ на картинки ,","я","т","о","м","с","","S","СМОТЯ","S f anim nom sg","Я"
"8650","","на","НА","PR","",""," Там смотя _на_ картинки , стал","а","н","","","","","PR","НА","PR","А"
"8651","","картинки","КАРТИНКА","S f inan gen sg","","","Там смотя на _картинки_ , стал ей","и","к","н","и","т","р","S","КАРТИНКА","S f inan gen sg","А"
"8652","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8653","","стал","СТАТЬ","V pf praet sg indic m -","","","на картинки , _стал_ ей рассказывать :","л","а","т","с","","","V","СТАТЬ","V pf praet sg indic m -","Ь"
"8654","","ей","ОНА","SPRO sg 3p f dat","","","картинки , стал _ей_ рассказывать : ""","й","е","","","","","SPRO","ОНА","SPRO sg 3p f dat","А"
"8655","","рассказывать","РАССКАЗЫВАТЬ","V ipf - - inf - -","","",", стал ей _рассказывать_ : "" Мама","ь","т","а","в","ы","з","V","РАССКАЗЫВАТЬ","V ipf - - inf - -","Ь"
"8656","",":",":","PUNCT","","","","","","","","","","PUNCT","","",""
"8657","","""","""","PUNCT","","","","","","","","","","PUNCT","","",""
"8658","","Мама","МАМА","S f anim nom sg","","","рассказывать : "" _Мама_ мыла раму ..","а","м","а","м","","","S","МАМА","S f anim nom sg","А"
"8659","","мыла","МЫТЬ","V ipf praet sg indic f -","","",": "" Мама _мыла_ раму .. ""","а","л","ы","м","","","V","МЫТЬ","V ipf praet sg indic f -","Ь"
"8660","","раму","РАМА","S f inan acc sg","","",""" Мама мыла _раму_ .. "" -","у","м","а","р","","","S","РАМА","S f inan acc sg","А"
"8661","","..","..","PUNCT","","","","","","","","","","PUNCT","","",""
"8662","","""","""","PUNCT","","","","","","","","","","PUNCT","","",""
"8663","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"8664","","ну","НУ","PART","","",".. "" - _ну_ , что-то еще","у","н","","","","","PART","НУ","PART","У"
"8665","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8666","","что-то","ЧТО-ТО","SPRO n inan nom sg","","","- ну , _что-то_ еще . //","о","т","-","о","т","ч","SPRO","ЧТО-ТО","S n - nom sg","О"
"8667","","еще","ЕЩЕ","ADV -","","","ну , что-то _еще_ . // Она","е","щ","е","","","","ADV","ЕЩЕ","ADV -","Е"
"8668","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8669","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8670","","Она","ОНА","SPRO sg 3p f nom","","","еще . // _Она_ врубилась , что","а","н","о","","","","SPRO","ОНА","SPRO sg 3p f nom","А"
"8671","","врубилась","ВРУБИТЬСЯ","V pf praet sg indic f -","","",". // Она _врубилась_ , что я","ь","с","а","л","и","б","V","ВРУБИТЬСЯ","V pf praet sg indic f -","Я"
"8672","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8673","","что","ЧТО","CONJ","","","Она врубилась , _что_ я читать не","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8674","","я","Я","SPRO sg 1p - nom","","","врубилась , что _я_ читать не умею","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8675","","читать","ЧИТАТЬ","V ipf - - inf - -","","",", что я _читать_ не умею ,","ь","т","а","т","и","ч","V","ЧИТАТЬ","V ipf - - inf - -","Ь"
"8676","","не","НЕ","PART","","","что я читать _не_ умею , сказала","е","н","","","","","PART","НЕ","PART","Е"
"8677","","умею","УМЕТЬ","V ipf praes sg indic - 1p","","","я читать не _умею_ , сказала моей","ю","е","м","у","","","V","УМЕТЬ","V ipf praes sg indic - 1p","Ь"
"8678","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8679","","сказала","СКАЗАТЬ","V pf praet sg indic f -","","","не умею , _сказала_ моей матери ,","а","л","а","з","а","к","V","СКАЗАТЬ","V pf praet sg indic f -","Ь"
"8680","","моей","МОЙ","APRO - dat sg plen f -","","","умею , сказала _моей_ матери , /","й","е","о","м","","","APRO","МОЙ","A - ins sg plen f -","Й"
"8681","","матери","МАТЕРЬ","S f anim dat sg","","",", сказала моей _матери_ , / вот","и","р","е","т","а","м","S","МАТЕРЬ","S f anim gen sg","Ь"
"8682","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8683","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8684","","вот","ВОТ","PART","","","матери , / _вот_ // Мать /","т","о","в","","","","PART","ВОТ","PART","Т"
