"8520","# doc = first-class.2.txt","","","","","","","","","","","","","","","",""
"9039","","по","ПО","PR","","","была большая река _по_ которой ходили пароходы","о","п","","","","","PR","ПО","PR","О"
"9040","","которой","КОТОРЫЙ","APRO - loc sg plen f -","","","большая река по _которой_ ходили пароходы .","й","о","р","о","т","о","APRO","КОТОРЫЙ","A - loc sg plen f -","Й"
"9041","","ходили","ХОДИТЬ","V ipf praet pl indic - -","","","река по которой _ходили_ пароходы . /","и","л","и","д","о","х","V","ХОДИТЬ","V ipf praet pl indic - -","Ь"
"9042","","пароходы","ПАРОХОД","S m inan nom pl","","","по которой ходили _пароходы_ . / ","ы","д","о","х","о","р","S","ПАРОХОД","S m anim nom pl","Д"
"9043","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9044","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9045","<noindex>[нрзб]</noindex>","","","","","","","","","","","","","","","",""
"9046","","мне","Я","SPRO sg 1p - dat","","",". /  _мне_ хотелось быть рекой","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"9047","","хотелось","ХОТЕТЬСЯ","V ipf praet sg indic n -","","","/  мне _хотелось_ быть рекой .","ь","с","о","л","е","т","V","ХОТЕТЬСЯ","V ipf praet sg indic n -","Я"
"9048","","быть","БЫТЬ","V ipf - - inf - -","",""," мне хотелось _быть_ рекой . //","ь","т","ы","б","","","V","БЫТЬ","V ipf - - inf - -","Ь"
"9049","","рекой","РЕКА","S f inan ins sg","","","мне хотелось быть _рекой_ . // И","й","о","к","е","р","","S","РЕКА","S f inan ins sg","А"
"9050","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9051","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9052","","И","И","CONJ","","","рекой . // _И_ / я считал","и","","","","","","CONJ","И","CONJ","И"
"9053","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9054","","я","Я","SPRO sg 1p - nom","","","// И / _я_ считал , что","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"9055","","считал","СЧИТАТЬ","V ipf praet sg indic m -","","","И / я _считал_ , что ага","л","а","т","и","ч","с","V","СЧИТАТЬ","V ipf praet sg indic m -","Ь"
"9056","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9057","","что","ЧТО","CONJ","","","я считал , _что_ ага , восемь","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"9058","","ага","АГА","PART","","","считал , что _ага_ , восемь классов","а","г","а","","","","PART","АГА","PART","А"
"9059","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9060","","восемь","ВОСЕМЬ","NUM gen - -","","","что ага , _восемь_ классов кончу и","ь","м","е","с","о","в","NUM","ВОСЕМЬ","NUM acc - -","Ь"
"9061","","классов","КЛАСС","S m inan gen pl","","","ага , восемь _классов_ кончу и поступлю","в","о","с","с","а","л","S","КЛАСС","S m inan gen pl","С"
"9062","","кончу","КОНЧИТЬ","V pf fut sg indic - 1p","","",", восемь классов _кончу_ и поступлю в","у","ч","н","о","к","","V","КОНЧА","S - anim acc sg","Ь"
"9063","","и","И","CONJ","","","восемь классов кончу _и_ поступлю в Казанский","и","","","","","","CONJ","И","CONJ","И"
"9064","","поступлю","ПОСТУПИТЬ","V pf fut sg indic - 1p","","","классов кончу и _поступлю_ в Казанский речевой","ю","л","п","у","т","с","V","ПОСТУПИТЬ","V pf fut sg indic - 1p","Ь"
"9065","","в","В","PR","","","кончу и поступлю _в_ Казанский речевой техникум","в","","","","","","PR","В","PR","В"
"9066","","Казанский","КАЗАНСКИЙ","S m anim nom sg","","","и поступлю в _Казанский_ речевой техникум ,","й","и","к","с","н","а","S","КАЗАНСКИЙ","S m anim nom sg","Й"
"9067","","речевой","РЕЧЕВОЙ","A - acc sg plen m inan","","","поступлю в Казанский _речевой_ техникум , /","й","о","в","е","ч","е","A","РЕЧЕВОЙ","A - acc sg plen m inan","Й"
"9068","","техникум","ТЕХНИКУМ","S m inan acc sg","","","в Казанский речевой _техникум_ , / ну","м","у","к","и","н","х","S","ТЕХНИКУМ","S m inan acc sg","М"
"9069","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9070","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9071","","ну","НУ","PART","","","техникум , / _ну_ готовили для речного","у","н","","","","","PART","НУ","PART","У"
"9072","","готовили","ГОТОВИТЬ","V ipf praet pl indic - -","","",", / ну _готовили_ для речного флота","и","л","и","в","о","т","V","ГОТОВИТЬ","V ipf praet pl indic - -","Ь"
"9073","","для","ДЛЯ","PR","","","/ ну готовили _для_ речного флота .","я","л","д","","","","PR","ДЛЯ","PR","Я"
"9074","","речного","РЕЧНОЙ","A - gen sg plen m -","","","ну готовили для _речного_ флота . ","о","г","о","н","ч","е","A","РЕЧНОЙ","A - gen sg plen m -","Й"
"9075","","флота","ФЛОТ","S m inan gen sg","","","готовили для речного _флота_ .  ат","а","т","о","л","ф","","S","ФЛОТ","S m inan gen sg","Т"
"9076","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9077","<distinct form=""","","","","","","","","","","","","","","","",""
"9078","<dist>","ат","","","","","","","","","","","","","","",""
"9079",""">","","","","","","","","","","","","","","","",""
"9080","","вот","ВОТ","PART","",""," ат  _вот_  Именно в","т","о","в","","","","PART","ВОТ","PART","Т"
"9081","</distinct>","","","","","","","","","","","","","","","",""
"9082","","Именно","ИМЕННО","PART 0","",""," вот  _Именно_ в тот год","о","н","н","е","м","и","PART","ИМЕННО","PART","О"
"9083","","в","В","PR","","","вот  Именно _в_ тот год когда","в","","","","","","PR","В","PR","В"
"9084","","тот","ТОТ","APRO - acc sg plen m inan","",""," Именно в _тот_ год когда я","т","о","т","","","","APRO","ТОТ","A - acc sg plen m inan","Т"
"9085","","год","ГОД","S m inan acc sg","","","Именно в тот _год_ когда я закончил","д","о","г","","","","S","ГОД","S m inan acc sg","Д"
"9086","","когда","КОГДА","CONJ","","","в тот год _когда_ я закончил семь","а","д","г","о","к","","CONJ","КОГДА","CONJ","А"
"9087","","я","Я","SPRO sg 1p - nom","","","тот год когда _я_ закончил семь классов","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"9088","","закончил","ЗАКОНЧИТЬ","V pf praet sg indic m -","","","год когда я _закончил_ семь классов //","л","и","ч","н","о","к","V","ЗАКОНЧИТЬ","V pf praet sg indic m -","Ь"
"9089","","семь","СЕМЬ","NUM acc - -","","","когда я закончил _семь_ классов // стали","ь","м","е","с","","","NUM","СЕМЬ","NUM acc - -","Ь"
"9090","","классов","КЛАСС","S m inan gen pl","","","я закончил семь _классов_ // стали принимать","в","о","с","с","а","л","S","КЛАСС","S m inan gen pl","С"
"9091","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9092","","стали","СТАЛЬ","V pf praet pl indic -","","","семь классов // _стали_ принимать в этот","и","л","а","т","с","","S","СТАЛЬ","S f inan loc sg","Ь"
"9093","","принимать","ПРИНИМАТЬ","V ipf - - inf - -","","","классов // стали _принимать_ в этот техникум","ь","т","а","м","и","н","V","ПРИНИМАТЬ","V ipf - - inf - -","Ь"
"9094","","в","В","PR","","","// стали принимать _в_ этот техникум только","в","","","","","","PR","В","PR","В"
"9095","","этот","ЭТОТ","APRO - loc sg plen m inan","","","стали принимать в _этот_ техникум только с","т","о","т","э","","","APRO","ЭТОТ","A - acc sg plen m inan","Т"
"9096","","техникум","ТЕХНИКУМ","S m inan acc sg","","","принимать в этот _техникум_ только с десятилеткой","м","у","к","и","н","х","S","ТЕХНИКУМ","S m inan acc sg","М"
"9097","","только","ТОЛЬКО","PART","","","в этот техникум _только_ с десятилеткой .","о","к","ь","л","о","т","PART","ТОЛЬКО","PART","О"
"9098","","с","С","PR","","","этот техникум только _с_ десятилеткой . ","с","","","","","","PR","С","PR","С"
"9099","","десятилеткой","ДЕСЯТИЛЕТКА","S f inan ins sg","","","техникум только с _десятилеткой_ .  ","й","о","к","т","е","л","S","ДЕСЯТИЛЕТКА","S f inan acc sg","А"
"9100","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9101","","","","","","","","","","","","","","","","",""
"9102","# sent = 754","","","","","","","","","","","","","","","",""
"9103","<noindex>[нрзб]</noindex>","","","","","","","","","","","","","","","",""
"9104","","Поэтому","ПОЭТОМУ","ADV -","","","   _Поэтому_ / на лето","у","м","о","т","э","о","ADV","ПОЭТОМУ","ADV -","У"
"9105","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9106","","на","НА","PR","",""," Поэтому / _на_ лето я поехал","а","н","","","","","PR","НА","PR","А"
"9107","","лето","ЛЕТО","S n inan acc sg","","","Поэтому / на _лето_ я поехал на","о","т","е","л","","","S","ЛЕТО","S n inan acc sg","О"
"9108","","я","Я","SPRO sg 1p - nom","","","/ на лето _я_ поехал на каникулы","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"9109","","поехал","ПОЕХАТЬ","V pf praet sg indic m -","","","на лето я _поехал_ на каникулы к","л","а","х","е","о","п","V","ПОЕХАТЬ","V pf praet sg indic m -","Ь"
"9110","","на","НА","PR","","","лето я поехал _на_ каникулы к двоюродному","а","н","","","","","PR","НА","PR","А"
"9111","","каникулы","КАНИКУЛЫ","S - inan acc pl","","","я поехал на _каникулы_ к двоюродному брату","ы","л","у","к","и","н","S","КАНИКУЛЫ","S - inan acc pl","Ы"
"9112","","к","К","PR","","","поехал на каникулы _к_ двоюродному брату //","к","","","","","","PR","К","PR","К"
"9113","","двоюродному","ДВОЮРОДНЫЙ","A - dat sg plen m -","","","на каникулы к _двоюродному_ брату // и","у","м","о","н","д","о","A","ДВОЮРОДНЫЙ","A - dat sg plen m -","Й"
"9114","","брату","БРАТ","S m anim dat sg","","","каникулы к двоюродному _брату_ // и он","у","т","а","р","б","","S","БРАТ","S m anim dat sg","Т"
"9115","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9116","","и","И","CONJ","","","двоюродному брату // _и_ он уговорил меня","и","","","","","","CONJ","И","CONJ","И"
"9117","","он","ОН","SPRO sg 3p m nom","","","брату // и _он_ уговорил меня ,","н","о","","","","","SPRO","ОН","SPRO sg 3p m nom","Н"
"9118","","уговорил","УГОВОРИТЬ","V pf praet sg indic m -","","","// и он _уговорил_ меня , что","л","и","р","о","в","о","V","УГОВОРИТЬ","V pf praet sg indic m -","Ь"
"9119","","меня","Я","SPRO sg 1p - gen","","","и он уговорил _меня_ , что вот","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"9120","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9121","","что","ЧТО","CONJ","","","уговорил меня , _что_ вот тут /","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"9122","","вот","ВОТ","PART","","","меня , что _вот_ тут / рядом","т","о","в","","","","PART","ВОТ","PART","Т"
"9123","","тут","ТУТ","ADV -","","",", что вот _тут_ / рядом в","т","у","т","","","","ADV","ТУТ","ADV -","Т"
"9124","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9125","","рядом","РЯДОМ","ADV -","","","вот тут / _рядом_ в городе Красноуфемске","м","о","д","я","р","","ADV","РЯДОМ","ADV -","М"
"9126","","в","В","PR","","","тут / рядом _в_ городе Красноуфемске есть","в","","","","","","PR","В","PR","В"
"9127","","городе","ГОРОД","S m inan loc sg","","","/ рядом в _городе_ Красноуфемске есть сельскохозяйский","е","д","о","р","о","г","S","ГОРОД","S m inan loc sg","Д"
"9128","","Красноуфемске","КРАСНОУФЕМСК","S m inan sg","","","рядом в городе _Красноуфемске_ есть сельскохозяйский техникум","е","к","с","м","е","ф","S","КРАСНОУФЕМСК","S m anim nom sg","К"
"9129","","есть","БЫТЬ","V ipf praes sg indic - 3p","","","в городе Красноуфемске _есть_ сельскохозяйский техникум ,","ь","т","с","е","","","V","БЫТЬ","V ipf praes sg indic - 3p","Ь"
"9130","","сельскохозяйский","СЕЛЬСКОХОЗЯЙСКИЙ","A - nom sg plen m inan","","","городе Красноуфемске есть _сельскохозяйский_ техникум , где","й","и","к","с","й","я","A","СЕЛЬСКОХОЗЯЙСКИЙ","A - acc sg plen m inan","Й"
"9131","","техникум","ТЕХНИКУМ","S m inan acc sg","","","Красноуфемске есть сельскохозяйский _техникум_ , где готовят","м","у","к","и","н","х","S","ТЕХНИКУМ","S m inan acc sg","М"
"9132","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9133","","где","ГДЕ","ADV -","","","сельскохозяйский техникум , _где_ готовят техник ..","е","д","г","","","","ADV","ГДЕ","ADV -","Е"
"9134","","готовят","ГОТОВИТЬ","V ipf praes pl indic - 3p","","","техникум , где _готовят_ техник .. техников","т","я","в","о","т","о","V","ГОТОВИТЬ","V ipf praes pl indic - 3p","Ь"
"9135","","техник","ТЕХНИК","S m anim nom sg","distort","",", где готовят _техник_ .. техников -","к","и","н","х","е","т","S","ТЕХНИК","S m anim nom sg","К"
"9136","","..","..","PUNCT","","","","","","","","","","PUNCT","","",""
"9137","","техников","ТЕХНИК","S m anim acc pl","","","готовят техник .. _техников_ - механиков .","в","о","к","и","н","х","S","ТЕХНИК","S m anim acc pl","К"
"9138","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"9139","","механиков","МЕХАНИК","S m anim gen pl","","",".. техников - _механиков_ . // А","в","о","к","и","н","а","S","МЕХАНИК","S m anim acc pl","К"
"9140","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9141","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9142","","А","А","CONJ","","","механиков . // _А_ мне уже было","а","","","","","","CONJ","А","CONJ","А"
"9143","","мне","Я","SPRO sg 1p - dat","","",". // А _мне_ уже было все равно","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"9144","","уже","УЖЕ","ADV -","","","// А мне _уже_ было все равно куда","е","ж","у","","","","ADV","УЖЕ","ADV -","Е"
"9145","","было","БЫТЬ","V ipf praet sg indic n -","","","А мне уже _было_ все равно куда .","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"9146","","все равно","все равно","ADV -","","","мне уже было _все равно_ куда . //","о","н","в","а","р"," ","ADV","все равно","ADV -","о"
"9147","","куда","КУДА","ADV  0","","","уже было все равно _куда_ . // Экзаменны","а","д","у","к","","","ADV","КУДА","ADV -","А"
"9148","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9149","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9150","","Экзаменны","ЭКЗАМЕННЫЙ","A - - pl brev - -","distort","","куда . // _Экзаменны_ мне сдавать мне","ы","н","н","е","м","а","A","ЭКЗАМЕННЫЙ","A - - pl brev - -","Й"
"9151","","мне","Я","SPRO sg 1p - dat","","",". // Экзаменны _мне_ сдавать мне было","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"9152","","сдавать","СДАВАТЬ","V ipf - - inf - -","","","// Экзаменны мне _сдавать_ мне было не","ь","т","а","в","а","д","V","СДАВАТЬ","V ipf - - inf - -","Ь"
"9153","","мне","Я","SPRO sg 1p - dat","","","Экзаменны мне сдавать _мне_ было не надо","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"9154","","было","БЫТЬ","V ipf praet sg indic n -","","","мне сдавать мне _было_ не надо .","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"9155","","не","НЕ","PART","","","сдавать мне было _не_ надо . ","е","н","","","","","PART","НЕ","PART","Е"
"9156","","надо","НАДО","PRAEDIC","","","мне было не _надо_ .  ","о","д","а","н","","","PRAEDIC","НАДО","ADV -","О"
"9157","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9158","","","","","","","","","","","","","","","","",""
"9159","# sent = 755","","","","","","","","","","","","","","","",""
"9160","","Экзамены","ЭКЗАМЕН","S m inan nom pl","","",".   _Экзамены_ мне сдавать было","ы","н","е","м","а","з","S","ЭКЗАМЕН","S m inan nom pl","Н"
"9161","","мне","Я","SPRO sg 1p - dat","","","  Экзамены _мне_ сдавать было не","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"9162","","сдавать","СДАВАТЬ","V ipf - - inf - -","",""," Экзамены мне _сдавать_ было не надо","ь","т","а","в","а","д","V","СДАВАТЬ","V ipf - - inf - -","Ь"
"9163","","было","БЫТЬ","V ipf praet sg indic n -","","","Экзамены мне сдавать _было_ не надо ,","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"9164","","не","НЕ","PART","","","мне сдавать было _не_ надо , я","е","н","","","","","PART","НЕ","PART","Е"
"9165","","надо","НАДО","PRAEDIC","","","сдавать было не _надо_ , я кончил","о","д","а","н","","","PRAEDIC","НАДО","ADV -","О"
"9166","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9167","","я","Я","SPRO sg 1p - nom","","","не надо , _я_ кончил школу на","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"9168","","кончил","КОНЧИТЬ","V pf praet sg indic m -","","","надо , я _кончил_ школу на пятерки","л","и","ч","н","о","к","V","КОНЧИТЬ","V pf praet sg indic m -","Ь"
"9169","","школу","ШКОЛА","S f inan acc sg","","",", я кончил _школу_ на пятерки ,","у","л","о","к","ш","","S","ШКОЛА","S f inan acc sg","А"
"9170","","на","НА","PR","","","я кончил школу _на_ пятерки , с","а","н","","","","","PR","НА","PR","А"
"9171","","пятерки","ПЯТЕРКА","S f inan acc pl","","","кончил школу на _пятерки_ , с похвальной","и","к","р","е","т","я","S","ПЯТЕРКА","S f inan acc pl","А"
"9172","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9173","","с","С","PR","","","на пятерки , _с_ похвальной граммотой .","с","","","","","","PR","С","PR","С"
"9174","","похвальной","ПОХВАЛЬНЫЙ","A - ins sg plen f -","","","пятерки , с _похвальной_ граммотой . ","й","о","н","ь","л","а","A","ПОХВАЛЬНЫЙ","A - dat sg plen f -","Й"
"9175","","грамотой","ГРАМОТА","S f inan ins sg","","",", с похвальной _граммотой_ .  ","й","о","т","о","м","а","S","ГРАММОТА","S f inan dat sg","А"
"9176","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9177","","","","","","","","","","","","","","","","",""
"9178","# sent = 756","","","","","","","","","","","","","","","",""
"9179","","И","И","CONJ","","",".   _И_ поступил я в","и","","","","","","CONJ","И","CONJ","И"
"9180","","поступил","ПОСТУПИТЬ","V pf praet sg indic m -","","","  И _поступил_ я в этот","л","и","п","у","т","с","V","ПОСТУПИТЬ","V pf praet sg indic m -","Ь"
"9181","","я","Я","SPRO sg 1p - nom","",""," И поступил _я_ в этот техникум","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"9182","","в","В","PR","","","И поступил я _в_ этот техникум .","в","","","","","","PR","В","PR","В"
"9183","","этот","ЭТОТ","APRO - loc sg plen m inan","","","поступил я в _этот_ техникум . ","т","о","т","э","","","APRO","ЭТОТ","A - acc sg plen m inan","Т"
"9184","","техникум","ТЕХНИКУМ","S m inan acc sg","","","я в этот _техникум_ .  ","м","у","к","и","н","х","S","ТЕХНИКУМ","S m inan acc sg","М"
"9185","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"9186","","","","","","","","","","","","","","","","",""
"9187","# sent = 757","","","","","","","","","","","","","","","",""
"9188","# speaker = М","","","","","","","","","","","","","","","",""
"9189","# sent = 758","","","","","","","","","","","","","","","",""
"9190","","Ну","НУ","PART","","","   _Ну_ хорошо , следующая","у","н","","","","","PART","НУ","PART","У"
"9191","","хорошо","ХОРОШО","ADV 0","","","  Ну _хорошо_ , следующая серия","о","ш","о","р","о","х","ADV","ХОРОШО","ADV -","О"
"9192","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"9193","","следующая","СЛЕДУЮЩИЙ","A - nom sg plen f -","","","Ну хорошо , _следующая_ серия / потом","я","а","щ","ю","у","д","A","СЛЕДУЮЩИЙ","A - nom sg plen f -","Й"
"9194","","серия","СЕРИЯ","S f inan nom sg","","","хорошо , следующая _серия_ / потом //","я","и","р","е","с","","S","СЕРИЯ","S f inan nom sg","Я"
"9195","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"9196","","потом","ПОТОМ","ADV -","","","следующая серия / _потом_ //  смеется","м","о","т","о","п","","ADV","ПОТОМ","ADV -","М"
"9197","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"9198","<span class=""note"">","","","","","","","","","","","","","","","",""
"9199","<note>","смеется","","","","","","","","","","","","","","",""
"9200","</span>","","","","","","","","","","","","","","","",""
"9201","","","","","","","","","","","","","","","","",""
"9202","# sent = 759","","","","","","","","","","","","","","","",""
